Generation;Subpop;Best of run;Best of gen;Worst of gen;Average;Sigma;Condition number
75;0;712.6543533634925;712.262208187966;692.231094263863;709.0161953888986;0.37958276799889984;1.131549298639646
76;0;712.6543533634925;712.5193446110537;688.7445188278286;708.3347324508838;0.37932936990413463;1.1341468561609986
77;0;712.6543533634925;712.6017378207255;690.1893645927053;709.9343401039712;0.37894509742623705;1.1365990218872988
78;0;712.6543533634925;712.4814211536158;691.9069478286783;710.3192266765607;0.37854962236300993;1.1389667937638985
79;0;712.6543533634925;712.4506619453298;705.3856149290275;711.1939818517478;0.3782008379541193;1.141323619912824
80;0;712.6543533634925;712.6531194188656;681.0482930365904;709.698181845025;0.3779199198388265;1.1436868709997021
81;0;712.6543533634925;712.2115562037445;654.4641230099236;708.143703653311;0.3775126626183978;1.146042755087011
82;0;712.6543533634925;712.4231966437125;702.1657789963222;709.9543273676298;0.3771324347673973;1.1483540093115816
83;0;712.6543533634925;712.5019219005382;661.4888404222813;705.6389720430512;0.3767870890495192;1.1506818889456654
84;0;712.7595526121148;712.7595526121148;707.5614921399342;711.1241037666566;0.3764567597141383;1.153075664642184
85;0;712.7595526121148;712.4382401379792;679.3447598646892;708.0321986397066;0.3761106423250105;1.155379524086377
86;0;712.7595526121148;712.4838550351111;660.4440837812235;706.778474336633;0.3758146263009777;1.1577559283084773
87;0;712.7595526121148;712.1972655801544;701.885146203329;709.9291890412047;0.375636681117052;1.1602015478257064
88;0;712.7595526121148;712.3227263640422;691.7966805660674;709.005383882765;0.3756092969137184;1.162719637468024
89;0;712.7595526121148;712.3362377502502;705.0394148525841;711.2237291539226;0.3756574852012862;1.1652692761077426
90;0;712.7595526121148;712.336370891265;655.3834855299053;705.7602155594308;0.37571914744635976;1.1678386454860474
91;0;712.7595526121148;712.4814983994438;658.6293841180624;704.6575358645765;0.3756895560464118;1.1703096266870276
92;0;712.7595526121148;712.2150380852723;686.7336051613268;709.1124703716907;0.37561643064562433;1.172778642260933
93;0;712.7595526121148;712.4405193307522;672.2189785749443;707.9956303794052;0.3756388669962124;1.1752566478791868
94;0;712.7595526121148;712.399881329445;667.9395511714158;706.5432861940669;0.3754834291229093;1.1777317008776815
95;0;712.7595526121148;712.4641649636997;689.5299851303305;709.1671402783351;0.3753107252141486;1.1801544935998283
96;0;712.7595526121148;712.5046824862889;702.6190821476714;710.1082764800099;0.37524629778030716;1.1827438235540857
97;0;712.7595526121148;712.2910754880995;685.2229593840138;709.4876720919498;0.3753260242750723;1.1853412409281776
98;0;712.7595526121148;712.4403771405226;669.3021088435659;709.1115455190069;0.375425844228067;1.187969072325446
99;0;712.7595526121148;712.5289472216634;678.242454226004;707.1555647158717;0.37538519324027064;1.190571789308217
100;0;712.7595526121148;712.340731430031;663.320319676622;706.1454163172272;0.37540647152083;1.1931646445350867
101;0;712.7595526121148;712.5782255383666;704.0590056288081;710.1529984292644;0.375477285855847;1.1957689905623685
102;0;712.7595526121148;712.3893988010648;691.7327834151432;710.3331752177568;0.3755048979779503;1.1983991847934017
103;0;712.7595526121148;712.5665465690711;658.486763821085;705.5434951373372;0.3755675748049534;1.2009739972302937
104;0;712.7595526121148;712.3761018054341;673.1788098237928;709.3762159807301;0.3755195738892478;1.2034866751725162
105;0;712.7595526121148;712.3498325722478;684.466347037767;708.3389967011395;0.3754935196956918;1.2060214252858972
106;0;712.7595526121148;712.2353825267325;677.7669434796152;705.8209600577226;0.37551184424927253;1.2086123127942172
107;0;712.7595526121148;712.3989490128822;702.3522241758726;710.2925794393651;0.3755858890396011;1.211275968166931
108;0;712.7595526121148;712.5401531104096;653.3532580629392;707.4867963208701;0.37568706026777504;1.2140810296721496
109;0;712.7595526121148;712.5772183865705;703.8665903927839;710.6878490199409;0.37577436712706486;1.2168699626686987
110;0;712.7595526121148;712.4059598286275;697.2206744997511;708.8891562656175;0.37580999661096154;1.219532514093837
111;0;712.7595526121148;712.351456326498;693.9277127970005;709.7777438263258;0.3758136395218612;1.2222130836918461
112;0;712.7595526121148;712.4302704713459;683.9312035595685;709.6077141267943;0.375727009569234;1.2248417475184135
113;0;712.7595526121148;712.3119501752434;702.6940669063094;710.5116880583244;0.375512089625901;1.2273587236577987
114;0;712.7595526121148;712.1359786534122;674.7215822635278;708.4476097671691;0.3751949209669661;1.229772756621567
115;0;712.7595526121148;712.1774101443327;704.6074246713812;710.0123882283814;0.3748087230744517;1.2321536463819824
116;0;712.7595526121148;712.1036823961376;702.2792733742118;709.9178030939484;0.37439995228552947;1.2345612130940584
117;0;712.7595526121148;712.466559753336;686.2580893749276;709.2212041443088;0.37395657407431854;1.2369122883848744
118;0;712.7595526121148;712.5208456783611;693.2524442459851;709.4913040419001;0.37343834767412737;1.2392691765628532
119;0;712.7595526121148;712.5799634136208;701.8382121102738;709.9981759453186;0.3729069272294267;1.241498540819177
120;0;712.7595526121148;712.51542249521;706.0200670007789;711.1706829144896;0.3724222062472863;1.2438149545852508
121;0;712.7595526121148;712.4974829973422;703.925456886331;711.2271027497834;0.3720003363507622;1.2462063863772732
122;0;712.7595526121148;712.4919029368227;694.9122754800945;709.5441351289123;0.37161614776803753;1.2484752847821938
123;0;712.7595526121148;712.4533294545803;703.9184923420743;711.121301924864;0.37130443482698156;1.25081538881047
124;0;712.7595526121148;712.5405059775883;686.756424174598;709.132600187952;0.3708390350090742;1.253056395086414
125;0;712.7595526121148;712.1950558007604;669.6674048158621;706.334098363113;0.3702938333353182;1.2552941269322488
126;0;712.7595526121148;712.4696146304279;670.2801264819784;707.9945890371204;0.3696308751131151;1.25747609127596
127;0;712.7595526121148;712.4162673755221;693.951612886038;709.1883742814464;0.3688304032708109;1.2596049183508065
128;0;712.7595526121148;712.6188670837863;706.5467589662318;710.8909814108672;0.36804092332822574;1.2615848057976191
129;0;712.7595526121148;712.3077242500792;702.5313525206319;710.773209731072;0.36737446831359116;1.2635809267773421
130;0;712.7595526121148;712.6918562492239;710.494998258863;711.9217542805937;0.3667580346619954;1.2655747603307574
131;0;712.7595526121148;712.6748313464677;700.1115973226233;711.4200847450633;0.36624698215613005;1.267659981323494
132;0;712.7595526121148;712.5511337274922;701.7106383771048;710.993672857655;0.3657236150394808;1.2696351036889864
133;0;712.7595526121148;712.5888964313674;707.4029185365404;711.6443165858612;0.3652604111132425;1.271663108694453
134;0;712.7595526121148;712.6578486463009;708.1082705153017;711.3826484303484;0.3647313884625724;1.273612283656602
135;0;712.7595526121148;712.5571011651557;709.7504553385859;711.6669163637065;0.3642127789206932;1.2754980297319851
136;0;712.7595526121148;712.5929879109506;702.3792820102223;710.9764395576542;0.3637929883936847;1.2774348669774194
137;0;712.7595526121148;712.5221543971837;680.9043051139449;710.0233912119764;0.36337447640837756;1.27935961755897
138;0;712.7595526121148;712.4316339893556;709.4529108733301;711.7264305686398;0.36292800183756435;1.281228874504544
139;0;712.7595526121148;712.5759569943807;708.6952411201081;711.7123242412663;0.362415200105847;1.2831362501551529
140;0;712.7595526121148;712.6463741925298;705.119539764685;711.4118839234063;0.36189560478360505;1.285120664731727
141;0;712.7595526121148;712.4511034929808;703.6785650507825;710.7559242655587;0.36147086311865045;1.2870590827186563
142;0;712.7595526121148;712.5704797793513;708.3755896290138;711.592781750349;0.3611759606628428;1.2891783537519748
143;0;712.7595526121148;712.3838969364522;709.1849685953836;711.6061080911135;0.36080330705681646;1.2912480733093035
144;0;712.7595526121148;712.7298878947894;707.7557229815753;711.3445079898759;0.3604921479272946;1.2933616526141267
145;0;712.7595526121148;712.5571673652947;707.3697461922818;711.3551291471717;0.3601619629538216;1.2954480011428104
146;0;712.7595526121148;712.5849936391043;705.334877899942;710.2693420389724;0.35977646416129144;1.297492609779207
147;0;712.7595526121148;712.576520190835;708.2358369309078;711.4983033086786;0.35941811018274883;1.2995222684667982
148;0;712.7595526121148;712.649864327117;702.794556760289;710.4976859542984;0.359025642103416;1.3014949128147792
149;0;712.77172887975;712.77172887975;709.8329635187388;711.7403204091785;0.3586459560889857;1.3035672108163372
150;0;712.77172887975;712.6006625470227;661.3732884587828;709.3216005529173;0.3582536296656975;1.3055552331950342
151;0;712.77172887975;712.4352210456437;704.1872955063118;710.729992247561;0.3579358436218388;1.3076060370434404
152;0;712.77172887975;712.511581084568;707.3225769877814;711.6310891787706;0.35758054524963406;1.309743741087004
153;0;712.77172887975;712.4463903170497;704.6513756948655;710.5239723850198;0.35719396673128423;1.3118522711550422
154;0;712.77172887975;712.6337405807859;706.8046077605219;711.1443856032777;0.35664833245986655;1.313863337895207
155;0;712.77172887975;712.662334246165;707.1962514551783;711.2208617245709;0.3561445938086534;1.3158939095509445
156;0;712.77172887975;712.5654253225101;707.1475836742651;711.4809431083249;0.3556658143318155;1.317973366562731
157;0;712.77172887975;712.6285670027403;707.840234824301;711.7577775363894;0.35508185089852035;1.319986953085611
158;0;712.77172887975;712.4589215362978;704.8429581835387;710.6761826775181;0.35454508493879167;1.321975818230836
159;0;712.77172887975;712.6814389709161;708.6609667864161;711.5409595400154;0.3540312416098222;1.3238981576809117
160;0;712.77172887975;712.6551728596233;694.123593402803;710.6045975028973;0.3534388290004136;1.3257646362578337
161;0;712.77172887975;712.5077219912239;709.603126795633;711.604598956476;0.3528250616860094;1.3275628978790899
162;0;712.77172887975;712.648825396168;707.9392557910453;711.6371129748968;0.35227182678218866;1.3292907805333924
163;0;712.77172887975;712.712607906378;702.9025410850849;711.0554606206714;0.35165609933894215;1.331017480502702
164;0;712.77172887975;712.6800449971302;686.040878938253;710.2188593512955;0.3510139210605264;1.3327784217921301
165;0;712.77172887975;712.4507423435173;701.5528363198139;711.0245454936912;0.35036184970428597;1.3344957016071157
166;0;712.77172887975;712.6312165827064;707.242563660009;711.4301515020662;0.3496776972557359;1.3361542947284293
167;0;712.77172887975;712.4980629353003;706.3143167869165;711.3585358172346;0.34906548721039427;1.337824676579524
168;0;712.77172887975;712.6806136128097;707.2144138974211;711.720343510795;0.34846290164633875;1.339483310381943
169;0;712.77172887975;712.5790072815722;709.0695773045658;711.727726301884;0.3478908382925282;1.3411677213347122
170;0;712.77172887975;712.5756115318758;696.4080386691728;710.7052623508373;0.34734615830522175;1.3428238046283976
171;0;712.77172887975;712.5861628400645;708.8859814378304;711.7635582670855;0.3468688169244929;1.344413344813125
172;0;712.77172887975;712.6206388123298;706.3658502415656;711.3874552340245;0.34650512331309535;1.3460738258984
173;0;712.77172887975;712.7079642482769;670.9954276724694;709.4024603310091;0.34619775969666144;1.3476282962294717
174;0;712.77172887975;712.5291567324117;710.1627270901181;711.6653865156189;0.34595732996266604;1.3491867111152482
175;0;712.77172887975;712.5034399058084;707.8914184860296;711.5477616668314;0.345683449872641;1.350704143914285
176;0;712.77172887975;712.5659129799418;709.6160693874847;711.7876571620775;0.34536695840294457;1.3521688183437568
177;0;712.77172887975;712.4875163359503;703.2995648509279;710.826608587086;0.3451028894481702;1.353785721699358
